"day","females","males"
0,47,52
1,45,49
2,41,44
3,46,50
4,48,52
5,48,50
6,49,51
7,46,49
8,45,47
9,50,54
10,48,54
11,53,55
12,52,55
13,49,55
14,46,48
15,40,41
16,39,40
17,34,38
18,35,38
19,32,34
20,28,31
21,27,29
22,28,32
23,29,32
24,30,32
25,32,34
26,34,37
27,34,37
28,33,34
29,30,32
30,28,32
31,32,37
32,41,48
33,48,52
34,49,54
35,57,60
36,49,51
37,43,47
38,53,56
39,56,61
40,58,65
41,57,63
42,61,64
43,61,64
44,58,61
45,57,61
46,57,61
47,58,66
48,62,64
49,60,66
50,60,62
51,63,66
52,65,68
53,67,69
54,72,76
55,71,76
56,72,75
57,71,76
58,72,77
59,71,75
60,72,76
61,73,79
62,74,77
63,73,76
64,75,77
65,66,70
66,67,73
67,72,76
68,78,81
69,76,84
70,74,79
71,71,76
72,75,81
73,77,80
74,77,78
75,57,61
76,78,84
77,74,80
78,77,84
79,76,82
80,74,78
81,73,76
